Lake;Experiment;Sampling;Exp_day;Sampling_day;Sampling_month;Enclosure;Treatment;Replicate;Zooplankton_group;Taxa;Biomass
Erk;2;6;28;11;9;1;C;1;Copepods;Nauplii;9.05913916640556
Erk;2;6;28;11;9;1;C;1;Copepods;Copepodite;25.0568392008061
Erk;2;6;28;11;9;1;C;1;Cladocerans;Ceriodaphnia;14.5548103458462
Erk;2;6;28;11;9;1;C;1;Cyclopoid copepods;Thermocyclops;147.848105105202
Erk;2;6;28;11;9;1;C;1;Cladocerans;Daphnia;1125.6992940035
Erk;2;6;28;11;9;1;C;1;Cyclopoid copepods;Mesocyclops;44.8824671345373
Erk;2;6;28;11;9;1;C;1;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;1;C;1;Calanoid copepods;Eudiaptomus;909.533324815784
Erk;2;6;28;11;9;1;C;1;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Polyarthra;0.04917248
Erk;2;6;28;11;9;1;C;1;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Keratella;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Synchaeta;0.0912673
Erk;2;6;28;11;9;1;C;1;Rotifers;Monostyla;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Filinia;0
Erk;2;6;28;11;9;2;F;1;Copepods;Nauplii;8.60618220808528
Erk;2;6;28;11;9;2;F;1;Copepods;Copepodite;25.0568392008061
Erk;2;6;28;11;9;2;F;1;Cladocerans;Ceriodaphnia;4.68803054700681
Erk;2;6;28;11;9;2;F;1;Cyclopoid copepods;Thermocyclops;33.0449107947213
Erk;2;6;28;11;9;2;F;1;Cladocerans;Daphnia;10.9426494602251
Erk;2;6;28;11;9;2;F;1;Cyclopoid copepods;Mesocyclops;0
Erk;2;6;28;11;9;2;F;1;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;2;F;1;Calanoid copepods;Eudiaptomus;62.1078558170467
Erk;2;6;28;11;9;2;F;1;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Polyarthra;0.09834496
Erk;2;6;28;11;9;2;F;1;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Keratella;0.84910672
Erk;2;6;28;11;9;2;F;1;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Monostyla;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Filinia;0
Erk;2;6;28;11;9;3;S;1;Copepods;Nauplii;23.1008048743342
Erk;2;6;28;11;9;3;S;1;Copepods;Copepodite;12.528419600403
Erk;2;6;28;11;9;3;S;1;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;3;S;1;Cyclopoid copepods;Thermocyclops;0
Erk;2;6;28;11;9;3;S;1;Cladocerans;Daphnia;27.6262903179671
Erk;2;6;28;11;9;3;S;1;Cyclopoid copepods;Mesocyclops;23.0782059390526
Erk;2;6;28;11;9;3;S;1;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;3;S;1;Calanoid copepods;Eudiaptomus;446.37267222842
Erk;2;6;28;11;9;3;S;1;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Polyarthra;0.2458624
Erk;2;6;28;11;9;3;S;1;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Keratella;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Monostyla;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Trichocerca;0.4313088
Erk;2;6;28;11;9;3;S;1;Rotifers;Filinia;0
Erk;2;6;28;11;9;4;FS;1;Copepods;Nauplii;12.6827948329678
Erk;2;6;28;11;9;4;FS;1;Copepods;Copepodite;18.7926294006045
Erk;2;6;28;11;9;4;FS;1;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;4;FS;1;Cyclopoid copepods;Thermocyclops;123.704710123266
Erk;2;6;28;11;9;4;FS;1;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;4;FS;1;Cyclopoid copepods;Mesocyclops;119.445426931051
Erk;2;6;28;11;9;4;FS;1;Cyclopoid copepods;Diacyclops;51.9145261773308
Erk;2;6;28;11;9;4;FS;1;Calanoid copepods;Eudiaptomus;239.102373393684
Erk;2;6;28;11;9;4;FS;1;Cladocerans;Chydorus;11.0574121305424
Erk;2;6;28;11;9;4;FS;1;Rotifers;Polyarthra;0.2458624
Erk;2;6;28;11;9;4;FS;1;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Keratella;0.97040768
Erk;2;6;28;11;9;4;FS;1;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Monostyla;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Filinia;0
Erk;2;6;28;11;9;5;S;2;Copepods;Nauplii;10.8709669996867
Erk;2;6;28;11;9;5;S;2;Copepods;Copepodite;0
Erk;2;6;28;11;9;5;S;2;Cladocerans;Ceriodaphnia;127.331015909929
Erk;2;6;28;11;9;5;S;2;Cyclopoid copepods;Thermocyclops;46.8011959881295
Erk;2;6;28;11;9;5;S;2;Cladocerans;Daphnia;415.83570414634
Erk;2;6;28;11;9;5;S;2;Cyclopoid copepods;Mesocyclops;184.625647512421
Erk;2;6;28;11;9;5;S;2;Cyclopoid copepods;Diacyclops;23.8445599041206
Erk;2;6;28;11;9;5;S;2;Calanoid copepods;Eudiaptomus;228.598907139054
Erk;2;6;28;11;9;5;S;2;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Polyarthra;0.04917248
