Lake;Experiment;Sampling;Exp_day;Sampling_day;Sampling_month;Enclosure;Treatment;Replicate;Zooplankton_group;Taxa;Counts;Chamber;Volume_counted;Magnification;Mean_lenght;Abundance;Biomass;Clean_Biomass
Erk;2;6;28;11;9;1;C;1;Copepods;Nauplii;10;25;12,5;40;0,152;16;9,059139166;9.05913916640556
Erk;2;6;28;11;9;1;C;1;Copepods;Copepodite;2;25;12,5;40;0,373;3,2;25,0568392;25.0568392008061
Erk;2;6;28;11;9;1;C;1;Cladocerans;Ceriodaphnia;5;25;12,5;40;0,279;8;14,55481035;14.5548103458462
Erk;2;6;28;11;9;1;C;1;Cyclopoid copepods;Thermocyclops;4;25;12,5;40;0,629;6,4;147,8481051;147.848105105202
Erk;2;6;28;11;9;1;C;1;Cladocerans;Daphnia;15;25;12,5;40;0,981;24;1125,699294;1125.6992940035
Erk;2;6;28;11;9;1;C;1;Cyclopoid copepods;Mesocyclops;1;25;12,5;40;0,682;1,6;44,88246713;44.8824671345373
Erk;2;6;28;11;9;1;C;1;Cyclopoid copepods;Diacyclops;;25;12,5;40;;;#NUM!;0
Erk;2;6;28;11;9;1;C;1;Calanoid copepods;Eudiaptomus;7;25;12,5;40;1,1;11,2;909,5333248;909.533324815784
Erk;2;6;28;11;9;1;C;1;Cladocerans;Chydorus;;25;12,5;40;;;;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Polyarthra;1;10;10;40;0,056;100;0,04917248;0.04917248
Erk;2;6;28;11;9;1;C;1;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Keratella;;10;10;40;;;;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Synchaeta;1;10;10;40;0,097;100;0,0912673;0.0912673
Erk;2;6;28;11;9;1;C;1;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;1;C;1;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;2;F;1;Copepods;Nauplii;19;25;25;40;0,152;15,2;8,606182208;8.60618220808528
Erk;2;6;28;11;9;2;F;1;Copepods;Copepodite;4;25;25;40;0,373;3,2;25,0568392;25.0568392008061
Erk;2;6;28;11;9;2;F;1;Cladocerans;Ceriodaphnia;1;25;25;40;0,396;0,8;4,688030547;4.68803054700681
Erk;2;6;28;11;9;2;F;1;Cyclopoid copepods;Thermocyclops;3;25;25;40;0,507;2,4;33,04491079;33.0449107947213
Erk;2;6;28;11;9;2;F;1;Cladocerans;Daphnia;2;25;25;40;0,498;1,6;10,94264946;10.9426494602251
Erk;2;6;28;11;9;2;F;1;Cyclopoid copepods;Mesocyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;2;F;1;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;2;F;1;Calanoid copepods;Eudiaptomus;1;25;25;40;1,076;0,8;62,10785582;62.1078558170467
Erk;2;6;28;11;9;2;F;1;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Polyarthra;2;10;10;40;0,056;200;0,09834496;0.09834496
Erk;2;6;28;11;9;2;F;1;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Keratella;7;10;10;40;0,082;700;0,84910672;0.84910672
Erk;2;6;28;11;9;2;F;1;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;2;F;1;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;3;S;1;Copepods;Nauplii;51;25;25;40;0,152;40,8;23,10080487;23.1008048743342
Erk;2;6;28;11;9;3;S;1;Copepods;Copepodite;2;25;25;40;0,373;1,6;12,5284196;12.528419600403
