"","Zooplankton_group","Treatment","Taxa","mean.size","sd.size"
"1","Diptera","C","Chaoborus",2216.36363636364,851.718126045094
"2","Cladocerans","C","Sida",921.666666666667,141.341194749915
"3","Calanoid copepods","C","Eudiaptomus",842.692913385827,231.403259357868
"4","Calanoid copepods","C","Eurytemora",746.375,253.652145100895
"5","Cladocerans","C","Daphnia",728.403846153846,273.140792511731
"6","Cyclopoid copepods","C","Metacyclops",700,NA
"7","Cyclopoid copepods","C","Mesocyclops",682.525423728814,115.513399664089
"8","Cyclopoid copepods","C","Thermocyclops",675.689655172414,128.955500358833
"9","Cladocerans","C","Eurycercus",644,NA
"10","Cyclopoid copepods","C","Cyclops",639.8125,149.396661609288
"11","Cyclopoid copepods","C","Microcyclops",638.804597701149,135.91018230079
"12","Cyclopoid copepods","C","Cyclopoid sp",638.4375,166.389490353207
"13","Cladocerans","C","Polyphemus",636.75,65.3165369565778
"14","Cyclopoid copepods","C","Diacyclops",485.857142857143,31.36573805619
"15","Cladocerans","C","Diaphanosoma",480.571428571429,128.145564551746
"16","Cladocerans","C","Ceriodaphnia",436.641176470588,95.8853825068732
"17","Copepods","C","Copepodite",376.630872483221,19.1890836764484
"18","Cladocerans","C","Bosmina",348.914285714286,88.9725423964754
"19","Cladocerans","C","Chydorus",292.405405405405,44.0375215390615
"20","Cladocerans","C","Cladoceran sp",255.5,361.331565186326
"21","Cladocerans","C","Holopedium",250,NA
"22","Cladocerans","C","Small cladoceran",238.86,60.7063894024815
"23","Rotifers","C","Trichocerca",152.459016393443,81.6746745265409
"24","Rotifers","C","Kellicottia",114.981818181818,14.0078495806778
"25","Rotifers","C","Filinia",107,0
"26","Rotifers","C","Synchaeta",97,0
"27","Rotifers","C","Lecane",85,0
"28","Rotifers","C","Keratella",84.1492537313433,4.49813238218014
"29","Rotifers","C","Polyarthra",58.8988764044944,8.17125310227715
"30","Calanoid copepods","C","Calanoid sp",NA,NA
"31","Rotifers","C","Asplanchna",NA,NA
"32","Rotifers","C","Monostyla",NA,NA
"33","Diptera","F","Chaoborus",2253.83333333333,661.506057951008
"34","Cladocerans","F","Polyphemus",1013,219.20310216783
"35","Calanoid copepods","F","Eurytemora",944.285714285714,274.399777870242
"36","Cladocerans","F","Sida",852,NA
